,text,label
0,One small prestige problem now.,0
1,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",0
2,You should get more chicken broth if you want ramen unless there's some I don't know about,0
3,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",0
4,"That's cool, I'll come by like  &lt;#&gt; ish",0
5,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",0
6,WOT U WANNA DO THEN MISSY?,0
7,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",0
8,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",0
9,Except theres a chick with huge boobs.,0
10,Wait  &lt;#&gt;  min..,0
11,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",0
12,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,0
13,Don know:)this week i'm going to tirunelvai da.,0
14,Well i will watch shrek in 3D!!B),0
15,ARE YOU IN TOWN? THIS IS V. IMPORTANT,0
16,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,0
17,I.ll get there tomorrow and send it to you,0
18,"Yeah sure, give me a couple minutes to track down my wallet",0
19,Why nothing. Ok anyway give me treat,0
20,Was it something u ate?,0
21,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",0
22,U should have made an appointment,0
23,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",0
24,I just lov this line: \Hurt me with the truth,0
25,aathi..where are you dear..,0
26,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,0
27,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,0
28,&lt;#&gt;  w jetton ave if you forgot,0
29,I had it already..sabarish asked me to go..,0
30,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,0
31,I'm thinking that chennai forgot to come for auction..,0
32,Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway,0
33,"I dont knw pa, i just drink milk..",0
34,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0
35,....photoshop makes my computer shut down.,0
36,"If e timing can, then i go w u lor...",0
37,As if i wasn't having enough trouble sleeping.,0
38,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",0
39,So when do you wanna gym?,0
40,If you ask her or she say any please message.,0
41,Anytime...,0
42,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,0
43,When did you get to the library,0
44,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",0
45,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",0
46,I'm awake oh. What's up.,0
47,See you there! ,0
48,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",0
49,"Sorry, I'll call later ok bye",0
50,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,0
51,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,0
